,Sr No,Image File,Caption,Length,Caption_0,Caption_1
3648,6129,img/insta6129,broke myself in fear of someone breaking me ,7,broke myself inwards fear of someone breaking me,broke myself in fearfulness of someone breaking me
1517,2210,img/insta2210,just 5 minutes until my holiday collection launches on kyliecosmetics  com   🎅    🏼   with free shipping until 3pm pst wednesday to celebrate   ,19,just v minutes until my holiday collection launches on kyliecosmetics  com   🎅    🏼   with loose transport until 3pm pst wednesday to celebrate,precisely v minutes until my opor-garai collection launches on kyliecosmetics  com   🎅    🏼   with liberate shipping until 3pm pst wednesday to celebrate
11770,19348,img/insta19348,happy birthday to my big   little   sister i love you soooo much   you  re the best mommy   sister in the whole worldd  don  t know what i  d do without you   💙   ,30,happy birthday to my large   little   sister 1 love y'all soooo much   you  re the best mommy   sister in the whole worldd  don  t know what one  d do without y'all   💙,happy birthday to my big   small   sister one beloved you soooo much   you  re the best mommy   sis in the whole worldd  don  t know what ane  d exercise without you   💙
4624,7704,img/insta7704,i love my mom     33 ,4,1 dearest my mom     33,i love my mom     33
6566,10435,img/insta10435,i feel so blessed that my daughter gets to grow up knowing my amazing beautiful grand mother   life is all about memories so take lots of pics and cherish all of the good memories   ,30,one sense thence blessed that my girl gets to grow upward knowing my amazing beautiful grand mother   life is all roughly memories so withdraw lots of pics together with cherish all of the good memories,1 feel so blessed that my girl gets to grow up knowing my amazing beautiful yard female parent   life is all or so memories hence take lots of pics and cherish all of the good memories
2090,3121,img/insta3121,happy birthday to this cutie   💜   ,5,happy birthday to this cutie   💜,happy birthday to this cutie   💜
7097,11114,img/insta11114,who is in london town with me   ,7,who is inwards london town amongst me,who is inward london town amongst me
6171,9857,img/insta9857,bts complex shoot x on my app ,7,bts complex shoot 10 on my app,bts complex shoot 10 on my app
7521,11727,img/insta11727,let the bday festivities begin vega   ,6,allow the bday festivities commence vega,allow the bday festivities begin vega
572,885,img/insta885,last day   ,2,last day,go daytime
11410,18837,img/insta18837,being at robs house and seeing some really appropriate reading material       the second ones about a cat right   ,16,being at robs home too seeing some really appropriate reading materials       the second ones or so a true cat right,existence at robs house as well as seeing some really appropriate reading materials       the sec ones about a cat correct
3062,5202,img/insta5202,ok i  m done ,4,ok i  one thousand done,ok i  m done
597,944,img/insta944,it doesnt matter who you are   or where you came from   the ability to triumph begins with you   always   ,17,it doesnt matter who you are   or where y'all came from   the powerfulness to triumph begins alongside you lot   e'er,it doesnt thing who yous are   or where you lot came from   the ability to triumph begins amongst y'all   ever
6633,10509,img/insta10509,getting my touch ups for the launch party in paris yesterday   ,11,getting my touch ups for the launch party in paris yesterday,getting my touching ups for the launch party in paris yesterday
12107,19787,img/insta19787,puppies smell good   😊   ,4,puppies odor well   😊,puppies smell well   😊
7875,12170,img/insta12170,i miss my ,3,i fille my,i fille my
7345,11472,img/insta11472,thank you for the beautiful memories thailand ,7,thank y'all for the beautiful memories thailand,thank you for the beautiful memories thailand
6304,10058,img/insta10058,808  s      💔    s x hollywood bowl ,6,808  s      💔    s x hollywood bowl,808  second      💔    sec 10 hollywood bowl
10109,16784,img/insta16784,the man ,2,the man,the man
11884,19490,img/insta19490,top down screamin out money ain  t a thangg ,7,go past downward screamin out money ain  t a thangg,top down screamin out coin possess  t a thangg
5976,9601,img/insta9601,date night ,2,date night,day of the month nighttime
8562,13005,img/insta13005,oh and feb 8   ,3,oh as well as feb eight,oh together with feb 8
1938,2827,img/insta2827,cant believe we are a day away from the summer collection launch           3pm tomorrow only on kyliecosmetics  com   💕   ,17,cant believe we are a daytime away from the summer collection launch           3pm tomorrow only on kyliecosmetics  com   💕,cant believe we are a day away from the summertime collection launch           3pm tomorrow merely on kyliecosmetics  com   💕
8100,12441,img/insta12441,the finished product       ,3,the finished product,the finished product
1753,2522,img/insta2522,mary jo matte lip available now at kyliecosmetics  com and in store at  ,11,mary jo matte lip available at present at kyliecosmetics  com and inwards store at,mary jo matte lip available at present at kyliecosmetics  com and inward shop at
3670,6161,img/insta6161,reunited and it feels so good ,5,reunited and it feels thence well,reunited and it feels therefore good
10115,16793,img/insta16793,i met the prime minister in overalls laughing out loud ,10,one met the prime minister inward overalls laughing out loud,i met the prime government minister in overalls laughing out loud
2361,3746,img/insta3746,kylie    kimberly ,2,kylie    kimberly,kylie    kimberly
4260,7050,img/insta7050,ma lady suit  ted baker ,5,ma lady arrange  ted baker,ma lady adjust  ted bakery
5432,8835,img/insta8835, mtv awards glam  ,3,mtv awards glam,mtv awards glam
6285,10023,img/insta10023,san fran with serena   💋   ,5,san fran alongside serena   💋,san fran with serena   💋
9921,16476,img/insta16476,she  s ready to turn up ,5,she  s set up to plough upwards,she  s gear up to plough up
11916,19531,img/insta19531,comin home   captain spark up top ,6,comin house   captain spark up spend,comin home   captain spark upward exceed
12111,19797,img/insta19797,preview for tonight  s show   😊   ,6,preview for tonight  s bear witness   😊,preview for this night  second testify   😊
10768,17769,img/insta17769,i love naps ,3,ane beloved naps,i love naps
10431,17282,img/insta17282,according to my jet lag it is one hundred o clock celsius   ,11,according to my jet lag it is one hundred o clock celsius,according to my jet lag it is one hundred o clock celsius
5591,9035,img/insta9035,i  ma get on the tv momma   i  ma i  ma put shit down ,14,i  ma attain on the tv momma   i  ma ane  ma set shit downward,i  ma get on the goggle box momma   i  ma one  ma put shit down
1171,1791,img/insta1791,just me and my brother shredding some massive swells ,8,precisely me in addition to my blood brother shredding some massive swells,precisely me in addition to my blood brother shredding about massive swells
7927,12239,img/insta12239,terry richardson    i shooting at chateau marmont ,6,terry richardson    i shooting at chateau marmont,terry richardson    i shooting at chateau marmont
10133,16837,img/insta16837,walking sleeping bag ,3,walking sleeping bag,walking sleeping steal
